id,obligations
AK,30118066.45
AL,52419013.8
AR,69724132.55
AS,2200000
AZ,68490097.61
CA,257126091.2
CO,41320542.11
CT,57697215
DC,61279188
DE,1337286
FL,51651326.5
FM,342905
GA,90318125
HI,19096580.75
IA,14667232.99
ID,10077841.71
IL,28374616.1
IN,37005570.67
KS,26681015.13
KY,32543085
LA,73243764.05
MA,99122658.52
MD,48836661.94
ME,7067367
MH,2196240
MI,36355718.94
MN,69164515.08
MO,10287034.42
MS,14656584.12
MT,25608779.73
NC,41219833.2
ND,28045075.54
NE,10591248
NH,926825.32
NJ,75171813
NM,46382165.13
NV,3771889.3
NY,184187709
OH,37524649.14
OK,81830485.39
OR,11641311.6
PA,148813782
PR,4190702.58
PW,3948728
RI,69775821
SC,62368345
SD,20749105.93
TN,38178195
TX,84966306.03
UT,12772132.18
VA,17617109
VI,103612
VT,40205649
WA,147212571.2
WI,110933201.7
WV,17287153
WY,3831219.01
